data-productividad-producto-producto_obtenido,data-productividad-producto-rendimiento_estimado,data-productividad-producto-rendimiento_real,data-productividad-producto-porcentaje_venta,data-productividad-producto-destinado_autoconsumo,data-productividad-producto-destinado_a_semilla,data-productividad-producto-vendio_producto,data-productividad-producto-precio_venta,PARENT_KEY,KEY
primera,4,2.5,80,20,0,si,1.25,uuid:6e86f185-0b9d-4a6b-b19c-ee7f4f907f6e,uuid:6e86f185-0b9d-4a6b-b19c-ee7f4f907f6e/producto[1]
segunda,1,1,0,100,0,no, ,uuid:6e86f185-0b9d-4a6b-b19c-ee7f4f907f6e,uuid:6e86f185-0b9d-4a6b-b19c-ee7f4f907f6e/producto[2]
tercera,1,0.5,0,80,20,no, ,uuid:6e86f185-0b9d-4a6b-b19c-ee7f4f907f6e,uuid:6e86f185-0b9d-4a6b-b19c-ee7f4f907f6e/producto[3]
segunda,2,2,0,90,10,no, ,uuid:113fed24-2eac-435d-b04d-fd7d27d805f7,uuid:113fed24-2eac-435d-b04d-fd7d27d805f7/producto[1]
segunda,2,2,0,90,10,no, ,uuid:5a51eb6b-6a53-45fb-ad85-e58ddffb1b81,uuid:5a51eb6b-6a53-45fb-ad85-e58ddffb1b81/producto[1]
primera,7,7,100,0,0,si,1.20,uuid:1678725e-6743-4d2a-bc6a-8b5d59e3a02d,uuid:1678725e-6743-4d2a-bc6a-8b5d59e3a02d/producto[1]
segunda,5,5,80,20,0,si,1.10,uuid:1678725e-6743-4d2a-bc6a-8b5d59e3a02d,uuid:1678725e-6743-4d2a-bc6a-8b5d59e3a02d/producto[2]
tercera,2.5,2.5,0,80,20,no, ,uuid:1678725e-6743-4d2a-bc6a-8b5d59e3a02d,uuid:1678725e-6743-4d2a-bc6a-8b5d59e3a02d/producto[3]
primera,20,20,100,0,0,si,1.25,uuid:aabc66a5-85ff-4ee1-a319-b7785bc0e3c5,uuid:aabc66a5-85ff-4ee1-a319-b7785bc0e3c5/producto[1]
segunda,10,10,60,40,0,si,1.1,uuid:aabc66a5-85ff-4ee1-a319-b7785bc0e3c5,uuid:aabc66a5-85ff-4ee1-a319-b7785bc0e3c5/producto[2]
tercera,6,6,0,80,20,no, ,uuid:aabc66a5-85ff-4ee1-a319-b7785bc0e3c5,uuid:aabc66a5-85ff-4ee1-a319-b7785bc0e3c5/producto[3]
primera,14,10,100,0,0,si,1.25,uuid:a4c1912a-b530-42f5-840b-8e8c47e2bd7b,uuid:a4c1912a-b530-42f5-840b-8e8c47e2bd7b/producto[1]
segunda,7,5,50,50,0,si,1.1,uuid:a4c1912a-b530-42f5-840b-8e8c47e2bd7b,uuid:a4c1912a-b530-42f5-840b-8e8c47e2bd7b/producto[2]
tercera,4,3,0,80,20,no, ,uuid:a4c1912a-b530-42f5-840b-8e8c47e2bd7b,uuid:a4c1912a-b530-42f5-840b-8e8c47e2bd7b/producto[3]
primera,1,1,50,40,10,si,1.25,uuid:48023a39-279a-48f4-9d48-564b36d060dc,uuid:48023a39-279a-48f4-9d48-564b36d060dc/producto[1]
primera,18,15,60,30,10,si,1.25,uuid:aba58b54-3587-4208-9800-41f9dc98463e,uuid:aba58b54-3587-4208-9800-41f9dc98463e/producto[1]
primera,6,3.7,100,0,0,si,0.9,uuid:186b7cff-bb13-4f85-86a7-8ba6642448af,uuid:186b7cff-bb13-4f85-86a7-8ba6642448af/producto[1]
segunda,5,3,0,80,20,no, ,uuid:186b7cff-bb13-4f85-86a7-8ba6642448af,uuid:186b7cff-bb13-4f85-86a7-8ba6642448af/producto[2]
segunda,4,2.1,0,90,10,no, ,uuid:2347241d-1481-4258-9f1d-0779967eda90,uuid:2347241d-1481-4258-9f1d-0779967eda90/producto[1]
primera,10,5.8,40,50,10,si,1,uuid:5487fe65-532e-4a85-a806-9c9313412c29,uuid:5487fe65-532e-4a85-a806-9c9313412c29/producto[1]
primera,3,1,100,0,0,si,0.9,uuid:c89889f5-67ba-4f6e-ab9d-fd48c159e07b,uuid:c89889f5-67ba-4f6e-ab9d-fd48c159e07b/producto[1]
segunda,1,0.36,10,90,0,si,0.8,uuid:c89889f5-67ba-4f6e-ab9d-fd48c159e07b,uuid:c89889f5-67ba-4f6e-ab9d-fd48c159e07b/producto[2]
tercera,1,0.36,0,0,100,no, ,uuid:c89889f5-67ba-4f6e-ab9d-fd48c159e07b,uuid:c89889f5-67ba-4f6e-ab9d-fd48c159e07b/producto[3]
primera,15,12,30,60,10,si,1.2,uuid:26607052-d09f-4d40-92cc-70cb39a7bb3d,uuid:26607052-d09f-4d40-92cc-70cb39a7bb3d/producto[1]
primera,5,4,60,30,10,si,1.1,uuid:8cf0bf05-3fc4-4ec8-a2a3-e426b90120c7,uuid:8cf0bf05-3fc4-4ec8-a2a3-e426b90120c7/producto[1]
primera,10,8,50,40,10,si,1,uuid:f6fc78df-16fe-42a9-8881-dc1769a31d0b,uuid:f6fc78df-16fe-42a9-8881-dc1769a31d0b/producto[1]
primera,5,4,40,50,10,si,1.2,uuid:aafc8890-327f-4d87-9e5e-6ee9b98121d4,uuid:aafc8890-327f-4d87-9e5e-6ee9b98121d4/producto[1]
primera,5,3.8,50,40,10,si,1.1,uuid:19aede03-1b6c-4e57-829b-7571555f2d66,uuid:19aede03-1b6c-4e57-829b-7571555f2d66/producto[1]
primera,5,4.2,40,50,10,si,1.2,uuid:622ec538-ae90-4ec4-be36-7cc4762a988c,uuid:622ec538-ae90-4ec4-be36-7cc4762a988c/producto[1]
primera,12,10,60,40,10,si,1.1,uuid:a06d542a-b2d6-4fde-8df4-138bf955682c,uuid:a06d542a-b2d6-4fde-8df4-138bf955682c/producto[1]
primera,4,3.5,10,80,10,si,1.2,uuid:85788f37-d32e-4f74-8f35-b9600dabf7c3,uuid:85788f37-d32e-4f74-8f35-b9600dabf7c3/producto[1]
primera,4,3,20,60,20,si,1,uuid:815623ac-f22a-4708-b015-d858a4a1a5fa,uuid:815623ac-f22a-4708-b015-d858a4a1a5fa/producto[1]
primera,5,4.3,0,90,10,no, ,uuid:75a1c19a-d156-4ad3-887f-2ee4320dcc00,uuid:75a1c19a-d156-4ad3-887f-2ee4320dcc00/producto[1]
primera,12,9.8,40,50,10,si,1,uuid:dfb9553a-dad2-40c1-83b9-c7d663219f5c,uuid:dfb9553a-dad2-40c1-83b9-c7d663219f5c/producto[1]
primera,12,10,60,30,10,si,1.2,uuid:9860377d-5c5a-44ae-a4a4-b44e7095efe3,uuid:9860377d-5c5a-44ae-a4a4-b44e7095efe3/producto[1]
primera,8,5,40,50,10,si,1,uuid:8fc8e260-17e2-49d5-9d05-8b4a93391f4e,uuid:8fc8e260-17e2-49d5-9d05-8b4a93391f4e/producto[1]
primera,5,3.8,20,60,20,si,1,uuid:a3d2530c-4f63-4969-bd65-5dcda8d6e149,uuid:a3d2530c-4f63-4969-bd65-5dcda8d6e149/producto[1]
primera,5,4,50,40,10,si,1.25,uuid:6b7ceadb-848a-4684-a024-d41ea51a3954,uuid:6b7ceadb-848a-4684-a024-d41ea51a3954/producto[1]
primera,6,4.2,60,30,10,si,1.1,uuid:a1b739c0-be0e-4fb8-a1c9-4a29542eed67,uuid:a1b739c0-be0e-4fb8-a1c9-4a29542eed67/producto[1]
primera,5,4,30,50,20,si,1.1,uuid:c9c687a6-fcd8-429b-96d9-dd3eeba4c34d,uuid:c9c687a6-fcd8-429b-96d9-dd3eeba4c34d/producto[1]
primera,12,9,50,40,10,si,1.2,uuid:990a73b9-ae91-4df2-b0a5-d4974091e1eb,uuid:990a73b9-ae91-4df2-b0a5-d4974091e1eb/producto[1]
primera,5,4,20,70,10,si,1.2,uuid:d8a8790c-c329-493b-a8ca-2b5f3c1caf33,uuid:d8a8790c-c329-493b-a8ca-2b5f3c1caf33/producto[1]
primera,15,13,40,50,10,si,1.2,uuid:5e6423d7-0020-4393-a102-a4be489f91a0,uuid:5e6423d7-0020-4393-a102-a4be489f91a0/producto[1]
primera,22,18,50,40,10,si,1.1,uuid:148fe5fa-b515-467f-a92d-bf979e740e03,uuid:148fe5fa-b515-467f-a92d-bf979e740e03/producto[1]
primera,15,10,60,30,10,si,1.1,uuid:d55a912b-927a-41e4-bedf-77404808ad24,uuid:d55a912b-927a-41e4-bedf-77404808ad24/producto[1]
primera,7.5,4.5,0,80,20,no, ,uuid:1fc7183e-fd3b-4b9e-9161-10d8b5f9ec88,uuid:1fc7183e-fd3b-4b9e-9161-10d8b5f9ec88/producto[1]
primera,16,16,80,10,10,si,1.5,uuid:23b7a049-67d3-448d-a999-18cd4dbbfe38,uuid:23b7a049-67d3-448d-a999-18cd4dbbfe38/producto[1]
primera,5,3,0,80,20,no, ,uuid:b39034c0-d34f-40ca-8a3c-447965009d27,uuid:b39034c0-d34f-40ca-8a3c-447965009d27/producto[1]
primera,9,5.7,100,0,0,si,1.5,uuid:6e4b3095-e06d-4454-a108-f8bc82a20257,uuid:6e4b3095-e06d-4454-a108-f8bc82a20257/producto[1]
segunda,6,3,100,0,0,si,0.9,uuid:6e4b3095-e06d-4454-a108-f8bc82a20257,uuid:6e4b3095-e06d-4454-a108-f8bc82a20257/producto[2]
tercera,2,0.43,0,80,20,no, ,uuid:6e4b3095-e06d-4454-a108-f8bc82a20257,uuid:6e4b3095-e06d-4454-a108-f8bc82a20257/producto[3]
primera,9,7.2,100,0,0,si,1.1,uuid:4c375e85-1d1f-4375-bc25-93b0b903ca0b,uuid:4c375e85-1d1f-4375-bc25-93b0b903ca0b/producto[1]
segunda,4,2.5,100,0,0,si,0.9,uuid:4c375e85-1d1f-4375-bc25-93b0b903ca0b,uuid:4c375e85-1d1f-4375-bc25-93b0b903ca0b/producto[2]
tercera,3,2,0,90,10,no, ,uuid:4c375e85-1d1f-4375-bc25-93b0b903ca0b,uuid:4c375e85-1d1f-4375-bc25-93b0b903ca0b/producto[3]
primera,12,10,60,30,10,si,1.5,uuid:cb76adcb-4b85-45a1-af69-581d0f917b0f,uuid:cb76adcb-4b85-45a1-af69-581d0f917b0f/producto[1]
primera,10,7,50,40,10,si,1.2,uuid:0f25b393-378f-4a03-bcb0-eae71f93c689,uuid:0f25b393-378f-4a03-bcb0-eae71f93c689/producto[1]
primera,10,7,60,30,10,si,1,uuid:b2aa569d-3e31-44f8-9051-70777a41ab25,uuid:b2aa569d-3e31-44f8-9051-70777a41ab25/producto[1]
segunda,5,4,10,80,10,si,1.1,uuid:6b35d96a-13f7-43e3-afa1-c8ae7ea1ee97,uuid:6b35d96a-13f7-43e3-afa1-c8ae7ea1ee97/producto[1]
segunda,10,4,20,70,10,si,O.8,uuid:6330ec87-5b99-4010-b65e-0594fd34d6be,uuid:6330ec87-5b99-4010-b65e-0594fd34d6be/producto[1]
primera,15,10,50,40,10,si,1.2,uuid:0b4d457b-896d-4a94-9033-5735dc1cbcc8,uuid:0b4d457b-896d-4a94-9033-5735dc1cbcc8/producto[1]
segunda,10,3.5,0,80,20,no, ,uuid:1c0ab72b-02c4-455e-99f5-7ab9a8e4227c,uuid:1c0ab72b-02c4-455e-99f5-7ab9a8e4227c/producto[1]
primera,10,6,30,60,10,si,1.2,uuid:9fe81b71-b30c-49c8-9d1d-0492d9156597,uuid:9fe81b71-b30c-49c8-9d1d-0492d9156597/producto[1]
primera,12,9,40,50,10,si,1,uuid:09021d2a-45a9-4e43-a7d0-95eeaba5883d,uuid:09021d2a-45a9-4e43-a7d0-95eeaba5883d/producto[1]
primera,4,2.8,0,80,20,no, ,uuid:27c45fcc-8cab-4470-a86f-caa08a00a67d,uuid:27c45fcc-8cab-4470-a86f-caa08a00a67d/producto[1]
primera,12,8,50,40,10,si,1.2,uuid:e6cd8077-d0bd-4ef1-ab5d-ac3a0ca9d630,uuid:e6cd8077-d0bd-4ef1-ab5d-ac3a0ca9d630/producto[1]
primera,10,6.8,60,30,10,si,2,uuid:fa885491-8678-45e9-806e-c13e1cbd071f,uuid:fa885491-8678-45e9-806e-c13e1cbd071f/producto[1]
primera,8,5.7,100,0,0,si,1.3,uuid:5cf269c0-3199-4307-94c3-09e5aae3761f,uuid:5cf269c0-3199-4307-94c3-09e5aae3761f/producto[1]
segunda,3,1.5,100,0,0,si,0.8,uuid:5cf269c0-3199-4307-94c3-09e5aae3761f,uuid:5cf269c0-3199-4307-94c3-09e5aae3761f/producto[2]
tercera,2,1,0,80,20,no, ,uuid:5cf269c0-3199-4307-94c3-09e5aae3761f,uuid:5cf269c0-3199-4307-94c3-09e5aae3761f/producto[3]
primera,4,3.9,50,40,10,si,1.3,uuid:c1c76aa5-9c2b-4060-b19c-a7d2dcb5523c,uuid:c1c76aa5-9c2b-4060-b19c-a7d2dcb5523c/producto[1]
segunda,6,4,20,70,10,si,1.1,uuid:6845faf3-4145-4d2d-bdc5-c8fede81f24a,uuid:6845faf3-4145-4d2d-bdc5-c8fede81f24a/producto[1]
segunda, , , , , , , ,uuid:6845faf3-4145-4d2d-bdc5-c8fede81f24a,uuid:6845faf3-4145-4d2d-bdc5-c8fede81f24a/producto[2]
primera,15,9,30,60,10,si,1,uuid:b712f0fb-fbeb-4b54-bc01-45e6a257d2c0,uuid:b712f0fb-fbeb-4b54-bc01-45e6a257d2c0/producto[1]
primera,5,4,25,65,10,si,1,uuid:08aec76c-c951-4858-bace-e885cea9b5c4,uuid:08aec76c-c951-4858-bace-e885cea9b5c4/producto[1]
segunda,5,3.2,20,70,10,si,0.9,uuid:eca7562b-7fca-4b40-b74b-06998b06276b,uuid:eca7562b-7fca-4b40-b74b-06998b06276b/producto[1]
primera,5,3,30,60,10,si,1,uuid:ea43e7f3-fb83-467c-afc1-0fd9c1cbe534,uuid:ea43e7f3-fb83-467c-afc1-0fd9c1cbe534/producto[1]
primera,4,3.6,20,70,10,si,1,uuid:915440c3-d579-46ba-99d7-369b88e5720b,uuid:915440c3-d579-46ba-99d7-369b88e5720b/producto[1]
segunda,4,2.1,50,40,10,si,0.9,uuid:1e3f40a8-e0c7-4eb4-8b00-5ce76b9ca5d4,uuid:1e3f40a8-e0c7-4eb4-8b00-5ce76b9ca5d4/producto[1]
primera,4,3.6,50,40,10,si,1,uuid:176b5f4e-cc8b-4f72-b4c7-bd66cf863b5f,uuid:176b5f4e-cc8b-4f72-b4c7-bd66cf863b5f/producto[1]
primera,12,7,60,30,10,si,1.1,uuid:18757119-a2a4-4664-8944-45981aa0e42a,uuid:18757119-a2a4-4664-8944-45981aa0e42a/producto[1]
primera,6,4,50,40,10,si,1.2,uuid:b52e1326-8440-48dc-ae34-065bb180a775,uuid:b52e1326-8440-48dc-ae34-065bb180a775/producto[1]
primera,20,14,60,30,10,si,1,uuid:406ce275-fcff-408e-85c3-12968f2f308f,uuid:406ce275-fcff-408e-85c3-12968f2f308f/producto[1]
primera,4,2.5,20,60,20,si,1,uuid:5aab9597-dbea-4469-b30c-bbe2bffbdee0,uuid:5aab9597-dbea-4469-b30c-bbe2bffbdee0/producto[1]
primera,4,2.5,50,40,10,si,1,uuid:d18a2b40-b67b-43f6-ae58-2211ae2d19e0,uuid:d18a2b40-b67b-43f6-ae58-2211ae2d19e0/producto[1]
primera,8,6,60,30,10,si,1.2,uuid:14a19026-7687-481b-aed0-a30f1d05cfbf,uuid:14a19026-7687-481b-aed0-a30f1d05cfbf/producto[1]
primera,12,9,70,20,10,si,1.2,uuid:651495cc-ecd5-4da7-a732-93766265110c,uuid:651495cc-ecd5-4da7-a732-93766265110c/producto[1]
primera,12,8,50,40,10,si,1,uuid:ec330932-eade-484c-b4df-d4d88b62a62e,uuid:ec330932-eade-484c-b4df-d4d88b62a62e/producto[1]
primera,15,10,50,40,10,si,1.2,uuid:e66457c3-94e7-4f7f-b6fe-597542eb7f3e,uuid:e66457c3-94e7-4f7f-b6fe-597542eb7f3e/producto[1]
primera,4,2,10,80,10,si,1,uuid:11b9e8c6-0fa4-4f2d-ba0e-1f561ee4307b,uuid:11b9e8c6-0fa4-4f2d-ba0e-1f561ee4307b/producto[1]
primera,12,9,20,70,10,si,1.2,uuid:ed4ad513-286b-4cb7-b94b-4a0aadfcd0ae,uuid:ed4ad513-286b-4cb7-b94b-4a0aadfcd0ae/producto[1]
primera,4,2,0,80,20,no, ,uuid:45ad056e-9e80-4676-bd3a-ea6d9ddf685d,uuid:45ad056e-9e80-4676-bd3a-ea6d9ddf685d/producto[1]
primera,4,2.5,10,80,10,si,1,uuid:b2063b62-6344-47b8-82c3-5868cf38daa6,uuid:b2063b62-6344-47b8-82c3-5868cf38daa6/producto[1]
primera,4,4,40,50,10,si,1.3,uuid:ad87b0c3-0428-4ba4-9342-5d7eb0703987,uuid:ad87b0c3-0428-4ba4-9342-5d7eb0703987/producto[1]
primera,5,3.8,30,60,10,si,1.1,uuid:33176ed6-3746-44ec-b9d9-21eb0fddeb3f,uuid:33176ed6-3746-44ec-b9d9-21eb0fddeb3f/producto[1]
primera,6,4.5,60,30,10,si,1.5,uuid:1fcfc730-b989-4144-96da-69d758ebd956,uuid:1fcfc730-b989-4144-96da-69d758ebd956/producto[1]
primera,4,3,40,40,20,si,1,uuid:10865f0d-f574-4621-8ce1-22ffdd55f53c,uuid:10865f0d-f574-4621-8ce1-22ffdd55f53c/producto[1]
primera,16,13,60,30,10,si,1.25,uuid:1002ff20-0110-4701-b103-cb702c433e5e,uuid:1002ff20-0110-4701-b103-cb702c433e5e/producto[1]
primera,12,8,50,40,10,si,1.25,uuid:e7bc6d0a-cd66-4829-8750-c05f0f214bf0,uuid:e7bc6d0a-cd66-4829-8750-c05f0f214bf0/producto[1]
primera,3,1.5,0,80,20,no, ,uuid:f315adb6-3da1-43ad-be3d-d0cef52adc5e,uuid:f315adb6-3da1-43ad-be3d-d0cef52adc5e/producto[1]
primera,12,9,50,40,10,si,1.2,uuid:18242f47-8c11-4153-bd75-c94085875698,uuid:18242f47-8c11-4153-bd75-c94085875698/producto[1]
primera,12,9,50,40,10,si,1.25,uuid:a84b89f0-ac4e-4c35-93fb-aeb860c2627b,uuid:a84b89f0-ac4e-4c35-93fb-aeb860c2627b/producto[1]
primera,4,2,0,80,20,no,0,uuid:b614447f-47d3-42e1-9f59-fe4090ae1705,uuid:b614447f-47d3-42e1-9f59-fe4090ae1705/producto[1]
primera,6,5,40,40,20,si,1.2,uuid:d2f575f6-8811-4ba6-89d3-bebde0f1c419,uuid:d2f575f6-8811-4ba6-89d3-bebde0f1c419/producto[1]
primera,18,15,60,30,10,si,"1,3",uuid:02097872-d54a-4240-97b3-17bd41498e6c,uuid:02097872-d54a-4240-97b3-17bd41498e6c/producto[1]
primera,4,4,60,30,10,si,1.2,uuid:5807dbcb-c4ca-46f8-902b-f9bb8d655fa3,uuid:5807dbcb-c4ca-46f8-902b-f9bb8d655fa3/producto[1]
primera,15,13,80,10,10,si,1.2,uuid:a4d6b40e-0094-4586-8c5c-832a500acfbf,uuid:a4d6b40e-0094-4586-8c5c-832a500acfbf/producto[1]
primera,4,2.5,50,40,10,si,1.2,uuid:da19bcce-ef43-4fcb-89b3-a46c53be5eb9,uuid:da19bcce-ef43-4fcb-89b3-a46c53be5eb9/producto[1]
primera,5,3,0,80,20,no,0,uuid:0bbe3003-fec0-4d78-bec9-5bf43ebafc68,uuid:0bbe3003-fec0-4d78-bec9-5bf43ebafc68/producto[1]
primera,9,6,60,30,10,si,1.3,uuid:70bb2104-8f87-411c-b8f8-f4a2131ec141,uuid:70bb2104-8f87-411c-b8f8-f4a2131ec141/producto[1]
primera,6,6,60,30,10,si,1,uuid:19d56bbd-8a85-4dcd-aead-997a34c3c62b,uuid:19d56bbd-8a85-4dcd-aead-997a34c3c62b/producto[1]
primera,15,13,60,30,9,si,1.1,uuid:88fc5522-8c80-4aed-b80b-62a5f22d34cf,uuid:88fc5522-8c80-4aed-b80b-62a5f22d34cf/producto[1]
primera,16,12,60,30,10,si,1.2,uuid:f6357e1b-017a-47d4-80d7-900b39e1b1df,uuid:f6357e1b-017a-47d4-80d7-900b39e1b1df/producto[1]
primera,15,14,60,30,10,si,1.25,uuid:028b571a-8394-4876-820c-7b9d084edbd1,uuid:028b571a-8394-4876-820c-7b9d084edbd1/producto[1]
primera,5,3,20,60,20,si,1,uuid:2715321d-cc28-4bd4-a6ad-742afbdc034d,uuid:2715321d-cc28-4bd4-a6ad-742afbdc034d/producto[1]
primera,10,8,50,40,10,si,1.2,uuid:466cb6c8-b4be-438c-b505-b28c4f858d86,uuid:466cb6c8-b4be-438c-b505-b28c4f858d86/producto[1]
primera,7,6,70,20,10,si,"1,2",uuid:deb480a4-a9b3-42f7-a039-72541d951948,uuid:deb480a4-a9b3-42f7-a039-72541d951948/producto[1]
primera,8,7,40,50,10,si,1,uuid:6915fa44-7faa-4226-817d-592c3310256f,uuid:6915fa44-7faa-4226-817d-592c3310256f/producto[1]
primera,15,14,60,30,10,si,1.3,uuid:2db2aff8-ee8c-4322-aa7e-26d103fe191c,uuid:2db2aff8-ee8c-4322-aa7e-26d103fe191c/producto[1]
segunda,7,4,40,50,10,si,1,uuid:9db38c16-8923-456e-9a0a-e9bdcad90eea,uuid:9db38c16-8923-456e-9a0a-e9bdcad90eea/producto[1]
primera,7,6,40,50,10,si,1.1,uuid:1c1bfd00-d872-4303-9c8f-16bf58099879,uuid:1c1bfd00-d872-4303-9c8f-16bf58099879/producto[1]
primera,18,15,70,20,10,si,1.1,uuid:757b6187-a316-49e5-a74b-b091a37411e4,uuid:757b6187-a316-49e5-a74b-b091a37411e4/producto[1]
primera,9,6,40,50,10,si,1.1,uuid:8217e0c2-0400-4b9d-908f-11e5c4db98e1,uuid:8217e0c2-0400-4b9d-908f-11e5c4db98e1/producto[1]
primera,14,10,60,30,10,si,1.2,uuid:adc9bd7d-2b7c-4ba9-96dc-9d7718f03680,uuid:adc9bd7d-2b7c-4ba9-96dc-9d7718f03680/producto[1]
primera,4,2.5,20,70,10,si,1.2,uuid:c70ed012-58f2-4da9-93e5-9c0a55bb33f8,uuid:c70ed012-58f2-4da9-93e5-9c0a55bb33f8/producto[1]
primera,12,10,60,30,10,si,1.2,uuid:07d06110-915c-4545-ac2c-91a6d5184b7f,uuid:07d06110-915c-4545-ac2c-91a6d5184b7f/producto[1]
segunda,5,3,50,40,10,si,1,uuid:0bae0332-17d0-4fc8-86ae-ae173a335bb2,uuid:0bae0332-17d0-4fc8-86ae-ae173a335bb2/producto[1]
primera,4,4,30,60,10,si,1.25,uuid:4b2e13b0-ae63-4d3a-a556-856d9420002a,uuid:4b2e13b0-ae63-4d3a-a556-856d9420002a/producto[1]
primera,18,15,70,20,10,si,1.2,uuid:a9a1610c-37bf-4062-aeba-71a125bf983b,uuid:a9a1610c-37bf-4062-aeba-71a125bf983b/producto[1]
primera,10,7,50,40,10,si,1.1,uuid:61613523-3814-43db-8c90-96681de3796f,uuid:61613523-3814-43db-8c90-96681de3796f/producto[1]
primera,14,10,60,30,10,si,1.3,uuid:72bd905e-d133-4695-9b4a-5a0201a8d520,uuid:72bd905e-d133-4695-9b4a-5a0201a8d520/producto[1]
primera,4,2.5,30,60,10,si,1.2,uuid:bacf0da7-473c-4386-a07a-d1f040d0d56e,uuid:bacf0da7-473c-4386-a07a-d1f040d0d56e/producto[1]
primera,10,6,60,30,10,si,1.2,uuid:ea10f7df-676d-47ea-8782-2fac6f4bae55,uuid:ea10f7df-676d-47ea-8782-2fac6f4bae55/producto[1]
primera,14,10,50,40,10,si,1.1,uuid:a7373971-7ac6-4bd1-8e82-6671ab2ef7d9,uuid:a7373971-7ac6-4bd1-8e82-6671ab2ef7d9/producto[1]
primera,5,3,20,70,10,si,1,uuid:b26f81ab-fe61-4cb9-a38d-d6de246c9004,uuid:b26f81ab-fe61-4cb9-a38d-d6de246c9004/producto[1]
segunda,5,3.5,60,30,10,si,1.2,uuid:1c61c71b-ea9b-406c-ac11-0e9ca82aed10,uuid:1c61c71b-ea9b-406c-ac11-0e9ca82aed10/producto[1]
primera,5,2,0,80,20,no,0,uuid:918121d4-27d2-4128-aeaa-7352389553c4,uuid:918121d4-27d2-4128-aeaa-7352389553c4/producto[1]
primera,12,9,50,40,10,si,1.5,uuid:101e6e02-8b4c-419a-88ce-16bf6b74bf98,uuid:101e6e02-8b4c-419a-88ce-16bf6b74bf98/producto[1]
primera,3,2.5,20,70,10,si,1.3,uuid:d331cef8-7eaf-4a91-8dc6-eda3405924ac,uuid:d331cef8-7eaf-4a91-8dc6-eda3405924ac/producto[1]
