data-productividad-producto-producto_obtenido,data-productividad-producto-rendimiento_estimado,data-productividad-producto-rendimiento_real,data-productividad-producto-porcentaje_venta,data-productividad-producto-destinado_autoconsumo,data-productividad-producto-destinado_a_semilla,data-productividad-producto-vendio_producto,data-productividad-producto-precio_venta,PARENT_KEY,KEY
primera,15,14,10,80,10,no,1,uuid:8e0640b6-f5ad-418e-9fba-86fdf5056ed4,uuid:8e0640b6-f5ad-418e-9fba-86fdf5056ed4/producto[1]
primera,0.6,0.6,20,80, ,si,0.6,uuid:5402ad4c-c9e8-4392-a172-a9178df13b04,uuid:5402ad4c-c9e8-4392-a172-a9178df13b04/producto[1]
primera,1.8,1.8,20,80, ,si,0.6,uuid:3f529709-78a0-44da-b4b1-9c6f0953e914,uuid:3f529709-78a0-44da-b4b1-9c6f0953e914/producto[1]
primera,2.4,2.4,0,100,0,no, ,uuid:a68b22e9-54ae-4e6c-8310-53b33a3af955,uuid:a68b22e9-54ae-4e6c-8310-53b33a3af955/producto[1]
primera,1.2,1.2,50,50,0,si,0.8,uuid:1fcb3315-d985-46b6-8979-feb3bf8d5a9e,uuid:1fcb3315-d985-46b6-8979-feb3bf8d5a9e/producto[1]
primera,1.2,1.2,30,70,0,si,0.8,uuid:97138913-8fd3-4d63-8f8a-298e54975931,uuid:97138913-8fd3-4d63-8f8a-298e54975931/producto[1]
primera,1.08,1.08,0,100,0,no, ,uuid:18e76bca-cc8d-40a2-919c-20a87df554a0,uuid:18e76bca-cc8d-40a2-919c-20a87df554a0/producto[1]
primera,0.9,0.9,20,80,0,si,1,uuid:354c0c67-07b8-4fb5-a730-f9292ff59e61,uuid:354c0c67-07b8-4fb5-a730-f9292ff59e61/producto[1]
primera,1.2,1.2,0,100,0,no, ,uuid:94981af8-7f49-44ab-8dfd-d542cbfe8c5e,uuid:94981af8-7f49-44ab-8dfd-d542cbfe8c5e/producto[1]
primera,1.8,1.8,50,50,0,si,0.8,uuid:cdb25bdb-f9a9-4b8c-b50c-688d4ca3f5c9,uuid:cdb25bdb-f9a9-4b8c-b50c-688d4ca3f5c9/producto[1]
primera,0.9,0.9,0,100,0,no, ,uuid:1714dd64-c12b-42e7-8695-9adcd6ed47dd,uuid:1714dd64-c12b-42e7-8695-9adcd6ed47dd/producto[1]
primera,25000,15000,40,50,10,no,1,uuid:6e29aa9a-1e9c-4d6d-b316-85a5909b34cd,uuid:6e29aa9a-1e9c-4d6d-b316-85a5909b34cd/producto[1]
primera,20000,18000,50,30,20,no,1,uuid:a3c01906-1c8b-4127-ba98-da1f0085afaa,uuid:a3c01906-1c8b-4127-ba98-da1f0085afaa/producto[1]
primera,5,3.8,65,10,15,no,1,uuid:1f51aab8-20d0-4669-86fe-bb231cf39d8f,uuid:1f51aab8-20d0-4669-86fe-bb231cf39d8f/producto[1]
primera,0.4,0.4,0,100, ,no, ,uuid:3dc8762c-62eb-4875-b2f4-1d3fa7849681,uuid:3dc8762c-62eb-4875-b2f4-1d3fa7849681/producto[1]
primera,0.2,0.2,0,100, ,no, ,uuid:57cf98b7-049a-4c90-a211-218490e01985,uuid:57cf98b7-049a-4c90-a211-218490e01985/producto[1]
primera,0.3,0.3,0,100, ,no, ,uuid:1dc8c53e-4b2f-4c33-a73b-96295fa28e76,uuid:1dc8c53e-4b2f-4c33-a73b-96295fa28e76/producto[1]
primera,3.6,3.6,50,50,0,si,1,uuid:75721b22-6e27-4560-9f71-de8ee4180a17,uuid:75721b22-6e27-4560-9f71-de8ee4180a17/producto[1]
primera,0.9,0.9,20,80,0,no, ,uuid:b1da80e7-2f56-446c-b91c-59a5b437e619,uuid:b1da80e7-2f56-446c-b91c-59a5b437e619/producto[1]
primera,1.8,1.8,70,30,0,si,0.7,uuid:593e9c4d-3302-4a17-b401-df221dd9d0aa,uuid:593e9c4d-3302-4a17-b401-df221dd9d0aa/producto[1]
primera,0.9,0.9,10,90,0,si,0.9,uuid:8faec4e0-c36b-4c94-b3bf-c1b0848c5901,uuid:8faec4e0-c36b-4c94-b3bf-c1b0848c5901/producto[1]
primera,0.3,0.3,0,100,0,no, ,uuid:882d3dac-0146-46ba-ac00-b6c25ea3aeab,uuid:882d3dac-0146-46ba-ac00-b6c25ea3aeab/producto[1]
primera,0.3,0.3,0,100,0,no, ,uuid:c107bcf9-5f0e-478f-9752-4a332e1aa24a,uuid:c107bcf9-5f0e-478f-9752-4a332e1aa24a/producto[1]
primera,0.42,0.42,0,90,10,no,0.5,uuid:500a8c6e-06ad-4a61-85a9-e7a07728ae92,uuid:500a8c6e-06ad-4a61-85a9-e7a07728ae92/producto[1]
primera,1.2,1.2,40,60,0,si,0.8,uuid:ad9cf047-d42a-42fc-9981-94d6a20f7030,uuid:ad9cf047-d42a-42fc-9981-94d6a20f7030/producto[1]
primera,2.4,2.4,70,30,0,si,0.9,uuid:e4ad9cb7-a206-421d-9245-987b12faa0a7,uuid:e4ad9cb7-a206-421d-9245-987b12faa0a7/producto[1]
primera,0.84,0.84,90,10,0,si,"0,8",uuid:7c125dd8-cb24-4be4-be36-a93928cba3f0,uuid:7c125dd8-cb24-4be4-be36-a93928cba3f0/producto[1]
primera,0.3,0.3,0,100,0,no, ,uuid:6287d7da-8ed8-4faa-b692-88ad3661e46e,uuid:6287d7da-8ed8-4faa-b692-88ad3661e46e/producto[1]
primera,6,6,70,30,0,si,"0,9",uuid:bd2009c8-c608-4b53-a10a-6414b0dd0a45,uuid:bd2009c8-c608-4b53-a10a-6414b0dd0a45/producto[1]
primera,1.2,1.2,0,100,0,no, ,uuid:e8530ecd-2c8e-40c1-9bf5-14ba9a0cba44,uuid:e8530ecd-2c8e-40c1-9bf5-14ba9a0cba44/producto[1]
primera,0.3,0.3,0,100,0,no, ,uuid:63f4b3c3-359f-4498-a661-d1171f0cc6dd,uuid:63f4b3c3-359f-4498-a661-d1171f0cc6dd/producto[1]
primera,1.8,1.8,100,0,0,si,0.70,uuid:9a4c80b6-3b31-4e86-b653-b261e3edc24b,uuid:9a4c80b6-3b31-4e86-b653-b261e3edc24b/producto[1]
primera,0.12,0.12,0,100,0,no, ,uuid:df78d509-0a8b-4f24-95b5-4fda402e7965,uuid:df78d509-0a8b-4f24-95b5-4fda402e7965/producto[1]
primera,2.1,2.1,90,10,0,si,0.9,uuid:e1b0c4dd-e44b-46a9-91b3-2d4ba6acf146,uuid:e1b0c4dd-e44b-46a9-91b3-2d4ba6acf146/producto[1]
primera,0.9,0.9,90,10,0,si,0.8,uuid:3731e30f-28cf-41ac-ae0d-fa98b6de8cfc,uuid:3731e30f-28cf-41ac-ae0d-fa98b6de8cfc/producto[1]
primera,1.8,1.8,70,30,0,si,0.7,uuid:6816fcb3-53bd-4a57-9235-4ebb46059570,uuid:6816fcb3-53bd-4a57-9235-4ebb46059570/producto[1]
primera,4.2,4.2,70,30,0,si,0.9,uuid:853759ae-413a-48b2-8ba3-c890a6ad4e11,uuid:853759ae-413a-48b2-8ba3-c890a6ad4e11/producto[1]
primera,0.6,0.6,0,100,0,no, ,uuid:44eb0c89-58b4-4383-bce1-c901df27a588,uuid:44eb0c89-58b4-4383-bce1-c901df27a588/producto[1]
primera,5,5,100,0,0,si,1,uuid:b02854b7-bef6-4af5-a14c-63329fb1e015,uuid:b02854b7-bef6-4af5-a14c-63329fb1e015/producto[1]
primera,4.8,4.8,100,0,0,si,0.9,uuid:eac0608f-4493-4655-8983-cd48c65e6cfe,uuid:eac0608f-4493-4655-8983-cd48c65e6cfe/producto[1]
segunda,1.5,1.5,0,100,0,no, ,uuid:eac0608f-4493-4655-8983-cd48c65e6cfe,uuid:eac0608f-4493-4655-8983-cd48c65e6cfe/producto[2]
tercera,0.6,0.6,0,0,100,no, ,uuid:eac0608f-4493-4655-8983-cd48c65e6cfe,uuid:eac0608f-4493-4655-8983-cd48c65e6cfe/producto[3]
segunda,0.8,0.8,0,100,0,no, ,uuid:4ecde720-879b-47c4-bfa1-0d8305e84662,uuid:4ecde720-879b-47c4-bfa1-0d8305e84662/producto[1]
primera,4.2,4.2,100,0,0,si,0.9,uuid:d4b4cb31-12a9-4226-8d71-5b684e968747,uuid:d4b4cb31-12a9-4226-8d71-5b684e968747/producto[1]
segunda,1.8,1.8,20,80,0,si,0.7,uuid:d4b4cb31-12a9-4226-8d71-5b684e968747,uuid:d4b4cb31-12a9-4226-8d71-5b684e968747/producto[2]
segunda,1.8,1.8,60,40,0,si,1.2,uuid:1d79275d-0b8a-41ce-9fe1-ff273b147125,uuid:1d79275d-0b8a-41ce-9fe1-ff273b147125/producto[1]
primera,3.6,3.6,100,0,0,si,1.2,uuid:15c12ecd-3bec-4813-95e9-38f02491f5fd,uuid:15c12ecd-3bec-4813-95e9-38f02491f5fd/producto[1]
segunda,1.2,1.2,0,90,10,no, ,uuid:2939139c-a288-4f5a-bdc9-52ecafd9b6aa,uuid:2939139c-a288-4f5a-bdc9-52ecafd9b6aa/producto[1]
primera,6,6,100,0,0,si,0.9,uuid:f4d16bee-1ac5-4393-8d37-003dcdd19b28,uuid:f4d16bee-1ac5-4393-8d37-003dcdd19b28/producto[1]
segunda,3,3,20,80,0,si,0.7,uuid:f4d16bee-1ac5-4393-8d37-003dcdd19b28,uuid:f4d16bee-1ac5-4393-8d37-003dcdd19b28/producto[2]
tercera,0.6,0.6,0,20,80,no, ,uuid:f4d16bee-1ac5-4393-8d37-003dcdd19b28,uuid:f4d16bee-1ac5-4393-8d37-003dcdd19b28/producto[3]
primera,3,3,80,20,0,si,0.9,uuid:dd428a8f-ae33-4f60-8614-5a097affda90,uuid:dd428a8f-ae33-4f60-8614-5a097affda90/producto[1]
tercera,0.9,0.9,0,100,0,no, ,uuid:ed92df72-8867-4432-949f-b5ae7dbe46b7,uuid:ed92df72-8867-4432-949f-b5ae7dbe46b7/producto[1]
tercera,0.6,0.6,0,100,0,no, ,uuid:7d51409b-8bb8-4092-89f8-cead3d133033,uuid:7d51409b-8bb8-4092-89f8-cead3d133033/producto[1]
primera,3,3,50,50,0,si,0.9,uuid:5c27a492-9690-4c10-b46a-deb619d2868f,uuid:5c27a492-9690-4c10-b46a-deb619d2868f/producto[1]
segunda,0.9,0.9,0,90,10,no, ,uuid:81f3b256-5d1a-4e00-a0af-1189a3c52ec6,uuid:81f3b256-5d1a-4e00-a0af-1189a3c52ec6/producto[1]
primera,9,9,100,0,0,si,0.9,uuid:2d2a32a3-5062-4851-930e-be10b4f77968,uuid:2d2a32a3-5062-4851-930e-be10b4f77968/producto[1]
segunda,6,6,20,80,0,si,0.7,uuid:2d2a32a3-5062-4851-930e-be10b4f77968,uuid:2d2a32a3-5062-4851-930e-be10b4f77968/producto[2]
tercera,3,3,0,60,40,no, ,uuid:2d2a32a3-5062-4851-930e-be10b4f77968,uuid:2d2a32a3-5062-4851-930e-be10b4f77968/producto[3]
primera,0.6,0.6,100,0,0,si,"O,9",uuid:291a5477-831c-41dd-976c-f1fb20bea23a,uuid:291a5477-831c-41dd-976c-f1fb20bea23a/producto[1]
segunda,0.36,0.36,100,0,0,si,0.7,uuid:291a5477-831c-41dd-976c-f1fb20bea23a,uuid:291a5477-831c-41dd-976c-f1fb20bea23a/producto[2]
tercera,0.36,0.36,0,50,50,no, ,uuid:291a5477-831c-41dd-976c-f1fb20bea23a,uuid:291a5477-831c-41dd-976c-f1fb20bea23a/producto[3]
primera,0.6,0.6,0,100,0,no, ,uuid:54699a03-afc2-451a-9164-11badbd708db,uuid:54699a03-afc2-451a-9164-11badbd708db/producto[1]
primera,1.8,1.8,0,100,0,no, ,uuid:34027a64-2c29-4b98-9d87-d52a4b4fe031,uuid:34027a64-2c29-4b98-9d87-d52a4b4fe031/producto[1]
segunda,0.48,0.48,0,100,0,no, ,uuid:34027a64-2c29-4b98-9d87-d52a4b4fe031,uuid:34027a64-2c29-4b98-9d87-d52a4b4fe031/producto[2]
primera,3,3,100,0,0,si,0.9,uuid:1ccd00f1-2c59-492c-b708-b4e9725978fa,uuid:1ccd00f1-2c59-492c-b708-b4e9725978fa/producto[1]
segunda,1.2,1.2,0,100,0, , ,uuid:1ccd00f1-2c59-492c-b708-b4e9725978fa,uuid:1ccd00f1-2c59-492c-b708-b4e9725978fa/producto[2]
tercera,1.2,1.2,0,50,50, , ,uuid:1ccd00f1-2c59-492c-b708-b4e9725978fa,uuid:1ccd00f1-2c59-492c-b708-b4e9725978fa/producto[3]
primera,3,1.2,75,15,10,si,0.9,uuid:87c136dd-1dfd-46fa-9203-410285ee2d33,uuid:87c136dd-1dfd-46fa-9203-410285ee2d33/producto[1]
primera,15,9,65,25,10,si,0.9,uuid:d9c04aa2-e90f-49ac-a34f-e7eb0fd01646,uuid:d9c04aa2-e90f-49ac-a34f-e7eb0fd01646/producto[1]
primera,25,10,60,30,10,si,0.9,uuid:24c1b57e-85bf-4d32-8071-875ae5863cfc,uuid:24c1b57e-85bf-4d32-8071-875ae5863cfc/producto[1]
primera,25,10,70,20,10,si,0.8,uuid:12d813f1-ec3e-4e37-826a-70e571556362,uuid:12d813f1-ec3e-4e37-826a-70e571556362/producto[1]
primera,15,8,75,15,10,si,0.7,uuid:caf6fdd1-c8d5-4714-828d-8d2d45130f7d,uuid:caf6fdd1-c8d5-4714-828d-8d2d45130f7d/producto[1]
primera,20,10,100,0,0,si,0.9,uuid:9ebe8570-8212-45ca-baa7-4f6f30cbd7f6,uuid:9ebe8570-8212-45ca-baa7-4f6f30cbd7f6/producto[1]
segunda,20,10,0,90,10,no, ,uuid:9ebe8570-8212-45ca-baa7-4f6f30cbd7f6,uuid:9ebe8570-8212-45ca-baa7-4f6f30cbd7f6/producto[2]
primera,25,10,70,20,10,si,0.8,uuid:c0c4befd-de5f-4a50-90e5-9ef3f5df0213,uuid:c0c4befd-de5f-4a50-90e5-9ef3f5df0213/producto[1]
segunda,25,8,30,60,10,si,0.6,uuid:eeaebbbf-1cad-4a8d-b4c4-fa58e92f1fda,uuid:eeaebbbf-1cad-4a8d-b4c4-fa58e92f1fda/producto[1]
primera,4,2.5,100,0,0,si,0.5,uuid:e295bf26-ce8f-4a2e-9df0-2014334f558b,uuid:e295bf26-ce8f-4a2e-9df0-2014334f558b/producto[1]
segunda,4,2.9,5,85,10,si,1,uuid:e295bf26-ce8f-4a2e-9df0-2014334f558b,uuid:e295bf26-ce8f-4a2e-9df0-2014334f558b/producto[2]
tercera,0.6,0.6,0,100,0,no, ,uuid:e295bf26-ce8f-4a2e-9df0-2014334f558b,uuid:e295bf26-ce8f-4a2e-9df0-2014334f558b/producto[3]
segunda,3,1.2,0,90,10,no, ,uuid:5ccd8a02-3d65-423a-bf81-9e9ee3c733e9,uuid:5ccd8a02-3d65-423a-bf81-9e9ee3c733e9/producto[1]
primera,6,5,90,10,0,si,0.5,uuid:785fad26-3421-4b8e-87c7-28ed453d1c4b,uuid:785fad26-3421-4b8e-87c7-28ed453d1c4b/producto[1]
segunda,8,7.5,0,90,10,no, ,uuid:785fad26-3421-4b8e-87c7-28ed453d1c4b,uuid:785fad26-3421-4b8e-87c7-28ed453d1c4b/producto[2]
primera,9,7.5,100,0,0,si,0.35,uuid:efa01e34-0df5-4246-87d3-56d65e32f911,uuid:efa01e34-0df5-4246-87d3-56d65e32f911/producto[1]
segunda,6,5.8,0,90,10,no, ,uuid:efa01e34-0df5-4246-87d3-56d65e32f911,uuid:efa01e34-0df5-4246-87d3-56d65e32f911/producto[2]
segunda,7,4.2,0,90,10,no, ,uuid:11dbbf55-92e6-43e8-8862-eaa44ecb5bb7,uuid:11dbbf55-92e6-43e8-8862-eaa44ecb5bb7/producto[1]
segunda,1.5,0.84,0,90,10,no, ,uuid:953126a7-e927-4c64-b1c3-4a6590b8debd,uuid:953126a7-e927-4c64-b1c3-4a6590b8debd/producto[1]
segunda,7,4.2,0,90,10,no, ,uuid:c119b494-a7d7-412a-8d4a-f8416c193628,uuid:c119b494-a7d7-412a-8d4a-f8416c193628/producto[1]
segunda,4,2.5,0,90,10,no, ,uuid:423b6bd0-b7f0-4b65-b991-8930b5464c7f,uuid:423b6bd0-b7f0-4b65-b991-8930b5464c7f/producto[1]
primera,7,5.8,80,20,0,si,0.4,uuid:b3b0523c-103e-4e3e-83c7-d30b7e7fc79f,uuid:b3b0523c-103e-4e3e-83c7-d30b7e7fc79f/producto[1]
segunda,4,2.5,0,90,10,no, ,uuid:b3b0523c-103e-4e3e-83c7-d30b7e7fc79f,uuid:b3b0523c-103e-4e3e-83c7-d30b7e7fc79f/producto[2]
primera,5,5,0,90,10,no, ,uuid:35e60615-330f-41d5-9c96-3fb1936b515f,uuid:35e60615-330f-41d5-9c96-3fb1936b515f/producto[1]
primera,5,4.2,10,80,10,si,0.4,uuid:45e571cd-0fe2-47d8-8d27-b369b70d5b46,uuid:45e571cd-0fe2-47d8-8d27-b369b70d5b46/producto[1]
segunda,1.5,1,0,90,10,no, ,uuid:7d75b5d6-e940-4618-8a6d-40269bb0b420,uuid:7d75b5d6-e940-4618-8a6d-40269bb0b420/producto[1]
segunda,2,0.84,0,90,10,no, ,uuid:61e86567-9ac3-4e49-8872-eb9ad0a3ffc5,uuid:61e86567-9ac3-4e49-8872-eb9ad0a3ffc5/producto[1]
segunda,2,0.84,0,90,10,no, ,uuid:88887b1f-98b8-411c-a67f-1331a202ed4d,uuid:88887b1f-98b8-411c-a67f-1331a202ed4d/producto[1]
primera,2,1.2,0,100,0,no, ,uuid:9723a74d-6cf5-44e4-b3d5-2e4dd6a90595,uuid:9723a74d-6cf5-44e4-b3d5-2e4dd6a90595/producto[1]
segunda,2,1.2,0,80,20,no, ,uuid:9723a74d-6cf5-44e4-b3d5-2e4dd6a90595,uuid:9723a74d-6cf5-44e4-b3d5-2e4dd6a90595/producto[2]
primera,2.5,2.5,20,80,0,si,0.4,uuid:165bb84e-f8d1-4251-9d47-da459d517fa7,uuid:165bb84e-f8d1-4251-9d47-da459d517fa7/producto[1]
segunda,2,1.6,0,80,20,no, ,uuid:165bb84e-f8d1-4251-9d47-da459d517fa7,uuid:165bb84e-f8d1-4251-9d47-da459d517fa7/producto[2]
segunda,2,1.6,0,90,10,no, ,uuid:8f00fe88-db1d-41e8-bcde-e4eb5bf73b26,uuid:8f00fe88-db1d-41e8-bcde-e4eb5bf73b26/producto[1]
primera,1,0.84,0,90,10,no, ,uuid:bd6b0175-0467-464d-8d2e-980bfb60a688,uuid:bd6b0175-0467-464d-8d2e-980bfb60a688/producto[1]
primera,2.5,2.5,0,100,0,no, ,uuid:88c47965-025b-44be-8757-aca998f58ea2,uuid:88c47965-025b-44be-8757-aca998f58ea2/producto[1]
segunda,1.6,1.6,0,80,20,no, ,uuid:88c47965-025b-44be-8757-aca998f58ea2,uuid:88c47965-025b-44be-8757-aca998f58ea2/producto[2]
primera,10,9.3,100,0,0,si,"1,1",uuid:ddd4ef99-fd51-4329-9da6-c5b594ead630,uuid:ddd4ef99-fd51-4329-9da6-c5b594ead630/producto[1]
segunda,4,3.6,10,80,10,si,1,uuid:ddd4ef99-fd51-4329-9da6-c5b594ead630,uuid:ddd4ef99-fd51-4329-9da6-c5b594ead630/producto[2]
primera,6,5.7,100,0,0,si,1,uuid:0c133841-fa5f-418c-b456-15d9747d01c3,uuid:0c133841-fa5f-418c-b456-15d9747d01c3/producto[1]
segunda,5,5,0,80,20,no, ,uuid:0c133841-fa5f-418c-b456-15d9747d01c3,uuid:0c133841-fa5f-418c-b456-15d9747d01c3/producto[2]
segunda,3,2.5,0,80,20,no, ,uuid:872271ca-f167-4d4d-bd2f-0d23c7b9ebd9,uuid:872271ca-f167-4d4d-bd2f-0d23c7b9ebd9/producto[1]
primera,10,6,70,20,10,si,0.4,uuid:3a3fc657-4eb8-4007-b98a-9b0ef84912e0,uuid:3a3fc657-4eb8-4007-b98a-9b0ef84912e0/producto[1]
primera,15,5,40,50,10,si,0.6,uuid:99dacf24-48b0-4d80-8f45-614a13163f6a,uuid:99dacf24-48b0-4d80-8f45-614a13163f6a/producto[1]
primera,20,10,80,10,10,si,0.4,uuid:49ce265e-e794-4937-ac60-5f4318a8ac1e,uuid:49ce265e-e794-4937-ac60-5f4318a8ac1e/producto[1]
primera,25,12,80,10,10,si,0.6,uuid:20221d57-d9eb-4b73-9c16-e12cb372ae4e,uuid:20221d57-d9eb-4b73-9c16-e12cb372ae4e/producto[1]
primera,10,6,50,40,10,si,0.6,uuid:d4baa9f3-5ddf-49fe-8330-3244769518d3,uuid:d4baa9f3-5ddf-49fe-8330-3244769518d3/producto[1]
primera,5,3,60,30,10,si,0.6,uuid:ac61fee5-a9f3-468d-9766-94e8893c4f93,uuid:ac61fee5-a9f3-468d-9766-94e8893c4f93/producto[1]
primera,8,5,75,15,10,si,0.5,uuid:3e1c75e5-78c2-42dd-8663-1fb9d9948b6b,uuid:3e1c75e5-78c2-42dd-8663-1fb9d9948b6b/producto[1]
primera,10,4,60,30,10,si,0.9,uuid:74497245-3073-41d0-9913-5df6e178eb9c,uuid:74497245-3073-41d0-9913-5df6e178eb9c/producto[1]
